RESULT ID UNIQUE,Result_ID,Bloom_Report_ID,Case_Assignment,Case_ID,Number_of_Blooms_Linked_to_Case,Report_Type,Water_Body_Name,Official_Water_Body_Name,Landmark,County,Regional_Water_Board,Bloom_Latitude,Bloom_Longitude,Bloom_Datum,Reported_Management_Organizations,DDW_District_Office,Drinking_Water_Source,Water_Body_Manager,Rec_Land_Manager,Water_Body_Use,Water_Body_Type,Bloom_Location,Bloom_Size,Bloom_Texture,Bloom_Type,Datum,Latitude,Longitude,Measurement_Type,Measurement_Unit,Measurement_Value,Proposed_Lab_Analyses,Results_Date,Sample_Date,Sample_ID,Sample_Location,Data_Type,Site,Taxa,Water_Surface_Condition,Weather_Condition,Analysis_Type,Method,Analyte_Class,Analyte,Sample_Type
F51,51,1429,,45,1,,San Luis Reservoir,San Luis Reservoir,San Luis Reservoir,Merced,Region 5 - Central Valley,37.072892,-121.13813,,DWR,,yes,United States Bureau of Reclamation,United States Bureau of Reclamation,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F52,52,1465,,46,8,,Shasta Lake,Shasta Lake,Shasta Lake - Jones Valley,Shasta,Region 5 - Central Valley,40.736056,-122.22351,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,United States Forest Service,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F53,53,1464,,46,8,,Shasta Lake,Shasta Lake,Shasta Lake - Silverthorn,Shasta,Region 5 - Central Valley,40.75585,-122.24727,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,United States Forest Service,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F54,54,1463,,46,8,,Shasta Lake,Shasta Lake,Shasta Lake - Squaw Arm,Shasta,Region 5 - Central Valley,40.777897,-122.21091,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,United States Forest Service,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F55,55,1472,,46,8,,Shasta Lake,Shasta Lake,Shasta Lake - Antlers Area,Shasta,Region 5 - Central Valley,40.881943,-122.37732,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,United States Forest Service,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F56,56,1468,,46,8,,Shasta Lake,Shasta Lake,Shasta Lake - Bridge Bay,Shasta,Region 5 - Central Valley,40.76192,-122.32378,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,United States Forest Service,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F57,57,1469,,46,8,,Shasta Lake,Shasta Lake,Shasta Lake - Digger Bay,Shasta,Region 5 - Central Valley,40.732668,-122.4015,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,United States Forest Service,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F58,58,1466,,46,8,,Shasta Lake,Shasta Lake,Shasta Lake - Holiday Harbor,Shasta,Region 5 - Central Valley,40.794513,-122.29453,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,United States Forest Service,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F59,59,1471,,46,8,,Shasta Lake,Shasta Lake,Shasta Lake - O'Brien area,Shasta,Region 5 - Central Valley,40.809776,-122.37115,,Central Valley Regional Water Quality Control Board,,No,United States Forest Service,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F60,60,1415,,47,1,,San Joaquin River,Stockton Deep Water Channel,San Joaquin River (Stockton Deep Water Ship Channel),San Joaquin,Region 5 - Central Valley,38.018501,-121.80568,,,,unknown,Local Port,Local Port,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F61,61,1492,,48,1,Public Reporting,Buckley Cove,Buckley Ponds,Buckley Cove (Marina),San Joaquin,Region 5 - Central Valley,37.977195,-121.37669,,Central Valley Regional Water Quality Control Board,,No,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F62,62,1473,,49,1,,Diaz Lake,Diaz Lake,Diaz Lake,Inyo,Region 6 - Lahontan,36.5621847,-118.05562,,Regional Water Quality Control Board,,Unknown,Los Angeles Department of Water and Power,County Environmental Health Department,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F63,63,1431,,50,2,,Iron Gate Reservoir,Iron Creek,,Siskiyou,Region 1 - North Coast,41.959463,-122.43256,,Regional Board,,unknown,Pacific Gas and Electric,PacifiCorp,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F64,64,1448,,50,2,,Iron Gate Reservoir,Iron Creek,,Siskiyou,Region 1 - North Coast,41.959463,-122.43256,,North Coast Regional Water Quality Control Board,,no,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F65,65,1444,,51,1,,Silverwood Lake,Silverwood Reservoir,,San Bernardino,Region 6 - Lahontan,34.285733,-117.34536,,DWR,,unknown,California Department of Water Resources,California Department of Water Resources,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F66,66,1446,,52,2,,Canyon Lake,Canyon Lake (Railroad Canyon Reservoir),,Riverside,Region 8 - Santa Ana,33.6870414,-117.2726,,Santa Ana RWQCB,,unknown,Unknown,Community HOA,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F67,67,1459,,52,2,Public Reporting,Canyon Lake,Canyon Lake (Railroad Canyon Reservoir),Canyon Lake,Riverside,Region 8 - Santa Ana,33.68248,-117.27335,,RWQCB-8,,,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F68,68,1428,,53,1,,Lake Elsinore,"Elsinore, Lake",,Riverside,Region 8 - Santa Ana,33.651146,-117.33189,,,,no,Unknown,City Department,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F69,69,1416,,54,1,,Shasta Lake,,Shasta Lake/Pit River Arm,Shasta,Region 5 - Central Valley,40.822311,-122.02478,,Region 5 CVRWQCB,,unknown,Unknown,United States Forest Service,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F70,70,1419,,55,4,,Copco Reservoir,,,Siskiyou,Region 1 - North Coast,41.9854662,-122.3478,,North Coast Regional Water Quality Control Board,,no,PacifiCorp,PacifiCorp,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F71,71,1435,,55,4,,Copco Reservoir,,,Siskiyou,Region 1 - North Coast,41.9854662,-122.3478,,North Coast Regional Water Quality Control Board,,no,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F72,72,1434,,55,4,,Copco Reservoir,,,Siskiyou,Region 1 - North Coast,41.9854662,-122.3478,,North Coast Regional Water Quality Control Board,,no,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F73,73,1506,,55,4,Public Reporting,Copco Reservoir,,"Copco Reservoir, Iron Gate Reservoir, Klamath River",Siskiyou,Region 1 - North Coast,41.98126,-122.30386,,NCRWQCB,,No,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F74,74,1497,,56,1,,Cosumnes River,,,Sacramento,Region 5 - Central Valley,38.49773,-121.06555,,,,No,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F75,75,1491,,57,2,,Eel River,,Eel River near Outlet Creek,Mendocino,Region 1 - North Coast,39.626885,-123.34726,,North Coast Regional Water Quality Control Board,,Unknown,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F76,76,1498,,57,2,Public Reporting,Eel River,,Eel River near Outlet Creek,Mendocino,Region 1 - North Coast,39.626885,-123.34726,,North Coast Regional Water Quality Control Board,,Unknown,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F77,77,1449,,58,1,Public Reporting,Lake Isabella,,Isabella Lake,Kern,Region 5 - Central Valley,35.648032,-118.41637,,Region 5,,,County Environmental Health Department,County Environmental Health Department,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F78,78,1458,,59,1,,Kern River,,,Kern,Region 5 - Central Valley,35.63894,-118.48448,,Region 5,,unknown,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F80,80,1420,,60,1,,Lake Britton,,,Shasta,Region 5 - Central Valley,41.02986,-121.64647,,Central Valley Water Board,,unknown,Pacific Gas and Electric,Pacific Gas and Electric,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F81,81,1453,,61,1,Public Reporting,Lake Clementine,,upper lake clementine beach and campsites,Placer,Region 5 - Central Valley,38.948569,-120.9979,,NONE,,,Unknown,Unknown,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F82,82,1548,,62,2,,Lake Cunningham,,,Santa Clara,Region 2 - San Francisco Bay,37.335371,-121.80965,,City of San Jose,,No,City Department,City Department,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F83,83,1508,,62,2,,Lake Cunningham,,,Santa Clara,Region 2 - San Francisco Bay,37.335393,-121.80968,WGS84,City of San Jose - ESD,,No,Unknown,Unknown,,Reservoir,,larger than a football field,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F84,84,1467,,63,1,,Shasta Lake,,Shasta Lake - McCloud Arm,Shasta,Region 5 - Central Valley,40.858,-122.25,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,United States Forest Service,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F85,85,1470,,64,1,,Shasta Lake,,Shasta Lake - Sacramento Arm,Shasta,Region 5 - Central Valley,40.773263,-122.37706,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,United States Forest Service,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F86,86,1474,,65,1,,Millpond,,Millpond,Inyo,Region 6 - Lahontan,37.378984,-118.49262,,Regional Water Quality Control Board,,Unknown,Unknown,Unknown,,Pond (<1 ha),,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F87,87,1445,,66,1,,Mountain Meadows Reservoir,,Mountain Meadows Reservoir,Lassen,Region 5 - Central Valley,40.283725,-121.02456,,Central Valley Regional Water Quality Control Board,,unknown,Pacific Gas and Electric,Pacific Gas and Electric,,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F88,88,1447,,67,2,,Russian River,,"Russian River, Upstream Riverfront Park",Sonoma,Region 1 - North Coast,38.5580052,-122.85847,,North Coast Regional Water Quality Control Board,,unknown,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F89,89,1501,,67,2,Public Reporting,Russian River,,Cloverdale River Park to Patterson Point (many miles),Sonoma,Region 1 - North Coast,38.821537,-123.01527,,North Coast Regional Water Quality Control Board,,No,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F90,90,1433,,68,1,Public Reporting,South Fork Eel River,,South Fork Eel River,Humboldt,Region 1 - North Coast,40.116138,-123.79818,,Regional Board,,,Unknown,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F91,91,1414,,69,1,,California Park Lake,,Upper California Park Lake,Butte,Region 5 - Central Valley,39.753166,-121.7879,,,,no,Community HOA,Community HOA,Dog walking,Reservoir,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F92,92,1442,,19,1,,San Lorenzo River Lagoon,San Lorenzo River Estuary,,Santa Cruz,Region 3 - Central Coast,36.9641173,-122.01246,,Central Coast Water Board,,yes,City Department,City Department,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F93,93,1647,,70,2,,Klamath River,Klamath Glen Hydrologic Subarea,Klamath River at I-5 Rest Area,Siskiyou,Region 1 - North Coast,41.856947,-122.57085,WGS84,Regional Water Board,,Unknown,Other,Unknown,,Wadeable stream,,,,,,0,0,,,0,,,,,,,,,,,,,,,Field
F94,94,1797,,251,1,Public Reporting,Trinity River,,"CDFW Junction City Fish Counting Weir, approximately 4.75 miles upstream of Dutch Creek Road Bridge at township of Junction City;",Trinity,Region 1 - North Coast,40.728204,-123.06202,,CA Dept Fish and Wildlife,,Yes,Unknown,Unknown,,Wadeable stream,,smaller than a sedan,,,,0,0,,,0,,,,,,,,,,,,,,,Field
